level_0,Unnamed: 0,Song Name,Matched Name,Ratio Value,Song List Index,index,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
266,130,lil red riding hood,this head i hold,57,12240,12240,This Head I Hold,0.0255,0.596,0.871,0.0101,2,0.249,-4.912,0,0.0375,80.939,4,0.961
268,131,devil with a blue dress ongood golly miss molly,good golly miss molly,62,1966,1966,Good Golly Miss Molly,0.481,0.557,0.873,0.00021,7,0.395,-9.129,1,0.0444,166.18900000000005,4,0.967
269,132,good vibrations,good vibrations,100,8112,8112,Good Vibrations,0.00234,0.7140000000000001,0.953,0.376,1,0.0245,-8.354,1,0.0543,121.653,4,0.882
271,133,a groovy kind of love,a fool in love,69,3852,3852,A Fool In Love,0.588,0.615,0.479,0.000277,7,0.272,-8.429,1,0.0644,127.04,4,0.7879999999999999
273,134,you dont have to say you love me,please dont say you love me,71,10669,10669,Please Don't Say You Love Me,0.737,0.479,0.541,0.0,0,0.108,-9.862,1,0.0545,85.994,4,0.321
275,135,cool jerk,cool jerk,100,3819,3819,Cool Jerk,0.339,0.7040000000000001,0.574,0.0,10,0.0705,-14.524,0,0.0611,83.955,4,0.763
276,136,born a woman,your woman,73,3002,3002,Your Woman,0.033,0.815,0.605,0.684,5,0.114,-9.118,0,0.0368,102.643,4,0.795
278,137,red rubber ball,the rubberband man,61,6880,6880,The Rubberband Man,0.466,0.81,0.536,0.00074,10,0.0401,-11.573,1,0.0583,97.311,4,0.957
280,138,baby,baby,100,3276,3276,Baby,0.675,0.522,0.4,0.0119,11,0.134,-9.55,0,0.0411,139.803,4,0.223
284,139,walk away renee,walk away,75,4399,4399,Walk Away,0.00317,0.987,0.358,0.0464,9,0.0943,-8.677999999999999,0,0.08800000000000001,117.978,4,0.5529999999999999
290,140,daydream,daydreaming,84,4016,4016,Daydreaming,0.000542,0.495,0.909,0.000503,2,0.363,-5.575,1,0.0525,150.02700000000004,4,0.335
293,141,time wont let me,same ole me,67,5426,5426,Same Ole Me,0.634,0.7240000000000001,0.28800000000000003,9.03e-06,7,0.14400000000000002,-13.873,1,0.0296,109.431,4,0.403
295,142,hooray for hazel,ready for the floor,63,2522,2522,Ready For The Floor,0.00903,0.764,0.759,0.0,1,0.0746,-5.443,0,0.0413,128.999,4,0.937
297,143,sweet pea,sweet escape,76,13825,13825,Sweet Escape,0.0736,0.5660000000000001,0.851,1.07e-06,2,0.198,-3.799,1,0.0389,126.046,4,0.511
298,144,bus stop,bust shots,67,9355,9355,Bust Shots,0.0058200000000000005,0.8440000000000001,0.742,0.0,9,0.0677,-5.8039999999999985,0,0.22,96.995,4,0.818
299,145,im your puppet,im yours,64,1147,1147,I'm Yours,0.595,0.6859999999999999,0.457,0.0,11,0.105,-8.322000000000001,1,0.0468,150.953,4,0.718
302,146,im so lonesome i could cry,to love somebody,57,2116,2116,To Love Somebody,0.716,0.405,0.378,7.23e-06,9,0.289,-12.342,1,0.0304,90.851,4,0.563
306,147,aint too proud to beg,aint too proud to beg,100,3814,3814,Ain't Too Proud To Beg,0.5489999999999999,0.763,0.6559999999999999,0.0,0,0.125,-6.86,1,0.0417,118.394,4,0.926
308,148,dirty water,dirty water,100,2711,2711,Dirty Water,0.0284,0.6509999999999999,0.8190000000000001,0.0,4,0.0654,-4.8889999999999985,1,0.0403,143.382,4,0.7809999999999999
310,149,elusive butterfly,butterfly,69,2407,2407,Butterfly,0.00132,0.736,0.8109999999999999,0.00014199999999999998,9,0.107,-4.17,0,0.081,103.502,4,0.609
312,150,i am a rock,i am machine,61,12859,12859,I Am Machine,1.29e-05,0.402,0.97,2.62e-06,2,0.189,-4.538,0,0.0668,75.10600000000002,4,0.476
313,151,crying time,closing time,78,992,992,Closing Time,0.0237,0.486,0.867,1.66e-06,7,0.155,-5.483,1,0.0295,92.757,4,0.281
315,152,secret agent man,secreto de amor,65,1283,1283,Secreto De Amor,0.76,0.569,0.483,4.75e-05,2,0.106,-7.1110000000000015,1,0.0421,96.502,4,0.624
316,153,the sound of silence,the sound of silence,100,2048,2048,The Sound of Silence,0.136,0.435,0.456,1.62e-06,6,0.124,-10.305,1,0.0279,107.529,4,0.529
318,154,lady godiva,la gozadera,64,10254,10254,La Gozadera,0.166,0.616,0.989,0.0,9,0.172,-1.6980000000000002,0,0.0483,95.036,4,0.902
319,155,homeward bound,headwound,70,6624,6624,Headwound,2.75e-05,0.256,0.994,0.636,8,0.316,-3.91,1,0.118,167.092,4,0.14
320,156,did you ever have to make up your mind,cant seem to make you mine,59,2710,2710,Can't Seem To Make You Mine,0.14800000000000002,0.6990000000000001,0.384,0.0,7,0.121,-13.691,1,0.044,109.573,4,0.584
324,157,barefootin,breathin,67,1146,1146,breathin,0.0211,0.568,0.6559999999999999,1.3699999999999998e-05,8,0.213,-5.4129999999999985,1,0.0433,100.049,4,0.364
327,158,uptight everythings alright,uptight everythings alright,100,3857,3857,Uptight (Everything's Alright),0.0301,0.61,0.65,0.0,5,0.404,-9.91,0,0.0337,133.409,4,0.823
329,159,bang bang my baby shot me down,cant find my way home,59,2723,2723,Can't Find My Way Home,0.917,0.556,0.249,0.0188,2,0.113,-17.875,1,0.0339,87.715,4,0.518
